"Name","LastWriteTime"
"ADR-0001-language-boundary.md","9/2/2026 9:44:20 PM"
"ADR-0002-chunk-identity-is-blake3.md","9/2/2026 9:44:20 PM"
"ADR-0003-chunk-size.md","9/2/2026 9:44:20 PM"
"ADR-0004-durability-contract.md","9/2/2026 9:44:20 PM"
"ADR-0005-cache-is-disposable.md","9/2/2026 9:44:20 PM"
"ADR-0006-version-state-machine.md","9/2/2026 9:44:20 PM"
"ADR-0007-build-rs-owns-the-cpp-adapter.md","9/7/2026 2:35:38 PM"
"ADR-0008-identifiers-are-opaque-and-generational.md","9/7/2026 2:35:50 PM"
"ADR-0009-every-callback-runs-under-a-deadline.md","9/7/2026 2:36:03 PM"
"ADR-0010-vfs-trait-is-synchronous.md","9/7/2026 2:36:13 PM"
"ADR-0011-the-contract-is-versioned-not-frozen.md","9/7/2026 2:36:23 PM"
"ADR-0012-share-access-is-winfsp-owned.md","9/7/2026 2:36:32 PM"
"ADR-0013-panic-containment-and-its-limits.md","9/7/2026 2:36:47 PM"
"ADR-0013a-the-poisoned-state-lifecycle.md","9/7/2026 2:37:01 PM"
"ADR-0014-error-taxonomy-local-now-remote-later.md","9/7/2026 2:37:15 PM"
"ADR-0015-ntstatus-translation-lives-at-the-windows-boundary.md","9/7/2026 2:37:27 PM"
