"Artifact","Kind","Present","Modified","Status"
"REQUIREMENTS.md","auto","yes","2026-09-10T20:23:51.8599266+02:00","STALE (older than HEAD)"
"PHASE-1-CERTIFICATION.md","auto","yes","2026-09-08T14:36:30.9388964+02:00","STALE (older than HEAD)"
"LEDGER.md","auto","yes","2026-09-08T15:16:52.4678606+02:00","STALE (older than HEAD)"
"fuzz-results.txt","auto","yes","2026-09-09T22:00:11.0010659+02:00","STALE (older than HEAD)"
"fuzz-op-sequence-fullbudget.txt","auto","yes","2026-09-08T14:38:39.7820309+02:00","STALE (older than HEAD)"
"mount-functional-test.txt","auto","yes","2026-09-10T09:00:08.2359950+02:00","STALE (older than HEAD)"
"kill-matrix.txt","auto","yes","2026-09-10T09:11:46.4767505+02:00","STALE (older than HEAD)"
"mount-stress.txt","auto","yes","2026-09-10T09:36:58.5289365+02:00","STALE (older than HEAD)"
"ntstatus-matrix.md","auto","yes","2026-09-10T09:00:26.3584096+02:00","STALE (older than HEAD)"
"compatibility-matrix.md","auto","yes","2026-09-10T09:00:36.4909621+02:00","STALE (older than HEAD)"
"io-stress.txt","auto","yes","2026-09-10T10:08:59.9698161+02:00","STALE (older than HEAD)"
"soak-samples.csv","auto","yes","2026-09-10T18:54:39.4863903+02:00","STALE (older than HEAD)"
"shutdown-states.txt","auto","yes","2026-09-10T09:02:07.5759283+02:00","STALE (older than HEAD)"
"fault-injection.txt","auto","yes","2026-09-10T20:06:57.1328298+02:00","STALE (older than HEAD)"
"enumeration-scaling.md","auto","yes","2026-09-08T03:14:24.3630480+02:00","STALE (older than HEAD)"
"EXPLORER-CHECKLIST.md","auto","yes","2026-09-08T01:21:52.6255824+02:00","STALE (older than HEAD)"
"procmon-writes.csv","human","NO","","OUTSTANDING (needs human)"
"explorer","human","NO","","OUTSTANDING (needs human)"
